homeTeam,awayTeam,awayScore,homeScore
Saints,Commanders,19,20
Vikings,Giants,28,59
Jaguars,Packers,21,56
Lions,Cowboys,17,23
Jets,Browns,42,24
Steelers,Colts,21,28
Patriots,Bills,21,10
Chiefs,Broncos,7,35
Titans,Eagles,24,38
Rams,Panthers,33,13
Bengals,Dolphins,18,36
Bears,Texans,28,31
49ers,Cardinals,27,30
Raiders,Ravens,17,20
Seahawks,Falcons,21,28
Buccaneers,Chargers,17,33
Bears,Packers,16,14
Eagles,Bengals,48,35
Browns,Falcons,46,37
Commanders,Lions,0,1
Raiders,Titans,52,49
Jets,Seahawks,1,0
Bills,Broncos,0,39
Texans,Vikings,1,0
Buccaneers,Panthers,15,12
Cardinals,Rams,28,51
49ers,Saints,17,35
Cowboys,Giants,1,0
Dolphins,Patriots,0,1
Jaguars,Chargers,14,35
Steelers,Ravens,1,0
Colts,Chiefs,0,1
Rams,Saints,35,3
Chargers,Raiders,7,19
Broncos,Chiefs,30,21
Colts,Bears,38,35
Falcons,Panthers,41,38
Eagles,Commanders,49,30
Seahawks,Cardinals,14,19
Steelers,Patriots,34,27
49ers,Lions,28,20
Giants,Browns,38,28
Vikings,Packers,30,35
Dolphins,Bills,31,10
Ravens,Jaguars,32,42
Buccaneers,Cowboys,21,24
Bengals,Jets,21,61
Texans,Titans,17,14
Chargers,Colts,28,38
Rams,Cardinals,40,21
Patriots,Chiefs,23,34
Bengals,Ravens,57,60
Eagles,49ers,24,27
Seahawks,Buccaneers,37,17
Jets,Bills,26,20
Browns,Steelers,27,59
Packers,Commanders,30,27
Bears,Cowboys,28,21
Titans,Broncos,21,45
Dolphins,Raiders,28,14
Jaguars,Vikings,24,35
Panthers,Giants,38,38
Falcons,Saints,35,23
Lions,Texans,46,34
Broncos,Jaguars,59,0
Patriots,Dolphins,0,1
Lions,Bears,38,30
Texans,Raiders,20,14
Eagles,Vikings,41,31
Panthers,Seahawks,1,0
Cardinals,Packers,14,49
Chargers,Saints,20,13
Ravens,Browns,63,21
Chiefs,Falcons,0,1
49ers,Jets,0,1
Commanders,Giants,7,21
Cowboys,Bengals,34,30
Steelers,Buccaneers,38,0
Colts,Titans,1,0
Bills,Rams,31,14
Bengals,Browns,39,21
Jaguars,Texans,13,27
Packers,Titans,31,13
Saints,Seahawks,34,31
Eagles,Ravens,63,35
Colts,Broncos,28,40
Dolphins,Steelers,23,17
Vikings,Bears,14,35
Bills,Jets,29,23
Chiefs,Buccaneers,17,27
Giants,Cardinals,38,24
Patriots,Lions,7,24
Cowboys,Commanders,35,14
Rams,49ers,48,9
Browns,Eagles,24,27
Seahawks,Rams,31,35
Steelers,Bengals,42,24
Vikings,Lions,17,52
Chiefs,Jaguars,49,13
Raiders,Chargers,27,47
Buccaneers,Saints,32,28
Cardinals,Bills,13,63
Giants,Cowboys,9,24
49ers,Dolphins,14,22
Panthers,Falcons,24,27
Titans,Patriots,36,44
Colts,Texans,26,28
Ravens,Commanders,45,41
Saints,Falcons,30,35
Packers,Vikings,24,17
Chargers,Cardinals,41,6
Titans,Texans,9,27
Rams,Jets,21,24
Colts,Jaguars,31,7
49ers,Seahawks,24,14
Bills,Patriots,48,23
Giants,Steelers,27,33
Broncos,Raiders,24,14
Eagles,Cowboys,18,21
Dolphins,Browns,22,17
Bears,Buccaneers,41,21
Panthers,Chiefs,21,31
Ravens,Giants,34,63
Browns,Bengals,42,37
Lions,Eagles,28,21
Broncos,Rams,38,34
Jets,Dolphins,25,31
Titans,Chiefs,7,24
Raiders,Seahawks,31,15
Texans,Chargers,7,31
Bears,Jaguars,56,5
Saints,Panthers,7,28
Vikings,Commanders,20,14
Packers,Colts,17,42
Patriots,49ers,23,49
Cardinals,Falcons,14,31
Vikings,Colts,10,35
Steelers,Cowboys,38,35
Panthers,Cardinals,31,29
Commanders,Browns,57,47
